year,global_avg,bangalore_city_avg,sanjose_city_avg
1796,8.27,24.49,
1797,8.51,25.18,
1798,8.67,24.65,
1799,8.51,24.81,
1800,8.48,24.85,
1801,8.59,24.49,
1802,8.58,25.44,
1803,8.50,25.22,
1804,8.84,25.67,
1805,8.56,25.01,
1806,8.43,24.87,
1807,8.28,24.25,
1808,7.63,,
1809,7.08,,
1810,6.92,,
1811,6.86,,
1812,7.05,,
1813,7.74,24.23,
1814,7.59,23.91,
1815,7.24,23.79,
1816,6.94,23.30,
1817,6.98,23.60,
1818,7.83,23.94,
1819,7.37,23.86,
1820,7.62,23.91,
1821,8.09,24.40,
1822,8.19,24.33,
1823,7.72,24.62,
1824,8.55,25.10,
1825,8.39,24.69,
1826,8.36,24.88,
1827,8.81,24.67,
1828,8.17,24.61,
1829,7.94,24.46,
1830,8.52,24.39,
1831,7.64,24.43,
1832,7.45,24.66,
1833,8.01,24.46,
1834,8.15,24.59,
1835,7.39,23.89,
1836,7.70,24.12,
1837,7.38,24.13,
1838,7.51,24.29,
1839,7.63,24.24,
1840,7.80,24.24,
1841,7.69,24.05,
1842,8.02,24.22,
1843,8.17,23.99,
1844,7.65,24.23,
1845,7.85,24.46,
1846,8.55,24.90,
1847,8.09,24.35,
1848,7.98,24.35,
1849,7.98,24.32,14.12
1850,7.90,24.38,13.80
1851,8.18,24.45,14.39
1852,8.10,24.43,13.81
1853,8.04,24.67,14.40
1854,8.21,24.73,13.98
1855,8.11,24.75,14.20
1856,8.00,24.21,14.10
1857,7.76,23.87,14.78
1858,8.10,24.59,14.19
1859,8.25,24.55,13.71
1860,7.96,24.41,13.81
1861,7.85,24.21,14.88
1862,7.56,23.59,14.43
1863,8.11,,14.43
1864,7.98,,15.18
1865,8.18,25.06,14.32
1866,8.29,25.00,14.67
1867,8.44,24.96,14.46
1868,8.25,25.07,14.25
1869,8.43,24.92,14.57
1870,8.20,24.42,14.19
1871,8.12,24.47,14.34
1872,8.19,24.48,14.63
1873,8.35,24.51,14.46
1874,8.43,24.56,14.09
1875,7.86,24.64,14.76
1876,8.08,24.84,14.44
1877,8.54,25.23,15.03
1878,8.83,25.15,14.37
1879,8.17,24.39,14.20
1880,8.12,24.58,13.22
1881,8.27,24.76,14.39
1882,8.13,24.33,13.58
1883,7.98,24.25,13.93
1884,7.77,24.35,14.05
1885,7.92,24.62,15.05
1886,7.95,24.53,14.58
1887,7.91,24.31,14.38
1888,8.09,24.63,14.70
1889,8.32,24.73,14.81
1890,7.97,24.46,14.05
1891,8.02,24.95,14.46
1892,8.07,24.59,14.05
1893,8.06,24.38,13.40
1894,8.16,24.75,13.80
1895,8.15,24.78,13.95
1896,8.21,25.12,14.22
1897,8.29,25.30,13.81
1898,8.18,24.87,13.77
1899,8.40,24.74,14.04
1900,8.50,25.44,14.64
1901,8.54,25.09,14.34
1902,8.30,25.06,14.07
1903,8.22,24.82,14.12
1904,8.09,24.53,14.50
1905,8.23,24.92,14.39
1906,8.38,25.09,14.81
1907,7.95,24.74,14.34
1908,8.19,24.66,14.01
1909,8.18,24.61,14.05
1910,8.22,24.42,14.17
1911,8.18,24.76,13.46
1912,8.17,25.00,13.95
1913,8.30,25.00,14.38
1914,8.59,25.02,14.33
1915,8.59,25.22,14.30
1916,8.23,24.75,13.61
1917,8.02,24.46,14.06
1918,8.13,24.74,14.14
1919,8.38,25.06,13.60
1920,8.36,24.99,13.72
1921,8.57,24.88,14.24
1922,8.41,24.74,13.61
1923,8.42,24.84,14.13
1924,8.51,24.89,14.10
1925,8.53,24.69,14.34
1926,8.73,25.14,15.14
1927,8.52,25.06,14.24
1928,8.63,25.06,14.32
1929,8.24,24.87,14.25
1930,8.63,24.86,14.25
1931,8.72,25.24,14.93
1932,8.71,24.68,14.24
1933,8.34,24.61,13.93
1934,8.63,24.81,15.31
1935,8.52,24.93,14.12
1936,8.55,24.99,15.13
1937,8.70,24.96,14.36
1938,8.86,24.91,14.35
1939,8.76,24.84,14.81
1940,8.76,24.92,15.12
1941,8.77,25.55,14.98
1942,8.73,25.23,14.20
1943,8.76,24.69,14.72
1944,8.85,24.92,14.17
1945,8.58,25.05,14.41
1946,8.68,24.97,13.83
1947,8.80,25.02,14.51
1948,8.75,25.21,13.65
1949,8.59,24.92,13.90
1950,8.37,24.85,14.66
1951,8.63,25.03,14.06
1952,8.64,25.12,14.11
1953,8.87,25.18,14.42
1954,8.56,24.92,14.18
1955,8.63,24.78,13.74
1956,8.28,24.73,14.08
1957,8.73,25.11,14.59
1958,8.77,25.29,15.41
1959,8.73,25.24,15.39
1960,8.58,25.07,14.59
1961,8.80,24.97,14.65
1962,8.75,24.90,14.22
1963,8.86,25.04,14.19
1964,8.41,25.09,14.24
1965,8.53,25.04,14.14
1966,8.60,25.32,14.74
1967,8.70,24.87,14.50
1968,8.52,25.00,14.66
1969,8.60,25.36,14.51
1970,8.70,24.95,14.76
1971,8.60,24.74,13.89
1972,8.50,25.22,14.25
1973,8.95,25.40,14.58
1974,8.47,24.94,14.41
1975,8.74,24.86,13.82
1976,8.35,25.13,14.72
1977,8.85,25.20,14.63
1978,8.69,25.07,14.96
1979,8.73,25.44,14.99
1980,8.98,25.45,14.74
1981,9.17,25.17,15.22
1982,8.64,25.42,14.00
1983,9.03,25.59,15.07
1984,8.69,25.08,14.97
1985,8.66,25.31,14.23
1986,8.83,25.51,15.00
1987,8.99,25.81,14.95
1988,9.20,25.50,15.08
1989,8.92,25.20,14.45
1990,9.23,25.25,14.73
1991,9.18,25.49,14.50
1992,8.84,25.16,15.53
1993,8.87,25.22,14.97
1994,9.04,25.22,14.21
1995,9.35,25.44,15.31
1996,9.04,25.41,15.56
1997,9.20,25.68,15.75
1998,9.52,26.01,14.38
1999,9.29,25.29,14.41
2000,9.20,25.34,15.02
2001,9.41,25.53,15.25
2002,9.57,25.76,15.00
2003,9.53,25.92,15.43
2004,9.32,25.25,15.37
2005,9.70,25.48,15.17
2006,9.53,25.42,15.02
2007,9.73,25.46,14.94
2008,9.43,25.35,15.05
2009,9.51,25.73,15.02
2010,9.70,25.71,14.67
2011,9.52,25.36,14.50
2012,9.51,26.04,15.05
2013,9.61,26.61,16.23
